SSN,fname,minit,lname,sex,dob,phone_number
625-65-6989,Brandy,F,Stapleton,Female,05/27/2000,118-277-7722
147-53-9279,Andrea,D,Hilbourne,Male,06/28/1985,871-418-4968
607-44-7275,Ross,S,Mayers,Male,11/07/1999,358-747-5628
708-46-6201,Hy,W,Plaster,Male,08/06/1989,644-140-9187
476-68-6939,Mohandas,A,Cufflin,Male,04/11/1990,392-583-7355
516-09-9491,Henrietta,J,Fearne,Female,10/16/1995,692-701-1921
401-21-2382,Chas,Y,Jablonski,Male,08/06/1990,628-719-3142
427-56-1308,Estella,U,Stannislawski,Female,05/08/1993,687-750-4512
804-48-4701,Lucien,H,Capron,Male,11/05/1991,556-414-2829
856-93-1287,Orton,K,Younghusband,Male,04/05/1996,403-201-0661
488-30-8010,Sherwynd,Y,Tunnadine,Male,07/07/1989,534-216-8649
234-95-8027,Dilly,L,Dow,Male,05/12/1986,165-602-3471
107-62-8021,Giuseppe,G,Beranek,Male,09/08/1986,336-554-7603
591-67-5280,Marji,V,Paulack,Female,04/13/1996,667-110-3422
155-56-0420,Garald,Y,Verna,Male,04/21/1997,609-660-2495
800-83-7664,Con,O,Beamish,Female,05/29/2000,433-799-8075
106-18-0365,Chas,D,Keets,Male,12/15/1995,168-274-9264
674-02-6136,Flora,D,Lavender,Female,05/06/1997,749-282-2108
769-07-1787,Loise,T,Varnals,Female,04/15/1989,360-296-8669
206-74-4826,Merell,M,Ingraham,Male,12/13/1997,925-387-6345
139-21-5078,Arabele,S,Maclaine,Female,06/13/1995,489-818-1032
715-84-8128,Myrah,W,Crafter,Female,07/29/1987,330-553-8797
228-57-4898,Mildred,X,Pitchford,Female,02/10/1991,173-936-5087
517-76-6685,Carlyle,O,Demke,Male,10/06/2001,766-297-6593
255-48-2899,Berry,H,Gray,Female,04/11/1996,202-848-6497
896-81-1009,Ingaborg,X,Hatchard,Female,01/31/1989,716-671-0267
371-58-1615,Morlee,E,Cartledge,Male,08/06/1994,745-763-9152
856-25-6999,Jaquith,I,MacKenny,Female,01/18/1993,481-533-9026
581-79-2700,Oneida,J,Ciccotti,Female,06/10/1998,842-666-6459
122-01-9807,Mitzi,J,Cluely,Female,12/08/1998,393-608-7863
573-39-3572,Anetta,N,Mackrill,Female,07/21/1993,370-272-2853
372-40-6811,Portia,U,Presley,Female,05/19/1989,244-417-6159
194-90-4044,Sibyl,S,Profit,Female,01/12/1997,633-556-9090
835-96-7344,Ned,Q,Andino,Male,03/03/1988,841-294-1886
766-10-0127,Nessi,Z,Lapidus,Female,04/27/1996,573-263-1945
452-93-0622,Nikolos,Q,Frift,Male,01/09/1992,862-464-6119
676-93-3421,Shepard,R,Tichner,Male,12/02/1988,558-983-0787
748-41-6005,Vida,L,Vedenyapin,Female,05/15/2001,685-277-2914
615-22-6259,Killian,Q,Horsfield,Male,09/26/2001,978-824-7654
176-28-5329,Rutherford,X,Dooler,Male,05/29/1994,672-597-8279
522-02-5245,Edan,K,Neylon,Male,10/13/2000,250-487-2111
644-90-4112,Augy,E,Kemmish,Male,02/08/1998,952-162-6480
852-50-1029,Fons,D,Burrill,Male,12/02/1998,199-536-5656
813-71-0138,Dilan,G,Macknish,Male,11/29/1991,730-692-7766
208-07-4282,Thatch,L,Sheriff,Male,12/27/1987,355-190-0991
508-05-1777,Merola,C,Postles,Female,07/09/1997,995-746-9514
752-39-9073,Lombard,C,Rubin,Male,07/01/1995,480-413-9470
892-62-9088,Hall,J,Marians,Male,09/03/1999,892-127-0676
434-65-1642,Sioux,N,Sleightholm,Female,04/02/1990,927-968-5844
811-90-8022,Rikki,G,Allett,Male,11/17/1992,878-295-7656
201-03-9918,Joell,Q,Creyke,Female,07/04/1998,300-108-4049
519-95-3393,Margarette,G,Lamba,Female,12/18/1998,895-433-6048
335-82-9243,Marrissa,M,Mc Meekin,Female,04/07/1993,542-786-7932
447-12-1998,Christiano,F,Moncreiffe,Male,02/24/1990,229-666-9134
681-23-3960,Augusto,E,Blyth,Male,09/22/1988,878-346-0306
719-81-6707,Rriocard,X,Androlli,Male,05/01/1995,661-152-5570
428-96-0806,Pooh,Y,Crosby,Female,04/01/1999,724-281-9754
189-50-9759,Gabriele,B,Caig,Male,05/07/1993,227-897-8792
435-51-8792,Ulrich,K,Khomin,Male,03/26/1988,791-204-6033
590-05-0618,Letti,U,Middleton,Female,06/15/1999,244-616-6397
638-97-5802,Mayor,T,Ingre,Male,05/26/1991,872-679-0100
248-45-2277,Avigdor,G,Le Monnier,Male,07/30/1993,649-625-4231
103-72-3244,Julie,H,Wattam,Male,04/10/1994,564-443-8358
140-11-0848,Livia,Z,Jefferd,Female,08/23/1991,875-862-1039
